,oxy1_adc,mV0_1,oxy2_adc,mV0_2
560,109,0.001703,106,0.001656
561,108,0.001687,106,0.001656
562,109,0.001703,107,0.001672
563,109,0.001703,106,0.001656
564,110,0.001719,108,0.001687
565,109,0.001703,107,0.001672
566,108,0.001687,106,0.001656
567,109,0.001703,106,0.001656
568,108,0.001687,107,0.001672
569,109,0.001703,107,0.001672
570,109,0.001703,109,0.001703
571,109,0.001703,106,0.001656
572,108,0.001687,107,0.001672
573,108,0.001687,106,0.001656
574,109,0.001703,106,0.001656
575,108,0.001687,107,0.001672
576,108,0.001687,107,0.001672
577,108,0.001687,106,0.001656
578,110,0.001719,107,0.001672
579,109,0.001703,106,0.001656
580,108,0.001687,107,0.001672
581,109,0.001703,108,0.001687
582,109,0.001703,107,0.001672
583,110,0.001719,107,0.001672
584,107,0.001672,107,0.001672
585,108,0.001687,107,0.001672
586,108,0.001687,106,0.001656
587,108,0.001687,107,0.001672
588,109,0.001703,106,0.001656
589,108,0.001687,106,0.001656
590,108,0.001687,107,0.001672
591,109,0.001703,106,0.001656
592,109,0.001703,107,0.001672
593,108,0.001687,106,0.001656
594,108,0.001687,106,0.001656
595,108,0.001687,107,0.001672
596,108,0.001687,107,0.001672
597,110,0.001719,106,0.001656
598,109,0.001703,106,0.001656
599,108,0.001687,107,0.001672
600,107,0.001672,107,0.001672
601,108,0.001687,107,0.001672
602,108,0.001687,109,0.001703
603,108,0.001687,106,0.001656
604,109,0.001703,106,0.001656
605,108,0.001687,106,0.001656
606,108,0.001687,106,0.001656
607,108,0.001687,107,0.001672
608,108,0.001687,106,0.001656
609,107,0.001672,107,0.001672
610,109,0.001703,106,0.001656
611,110,0.001719,106,0.001656
612,108,0.001687,107,0.001672
613,108,0.001687,106,0.001656
614,109,0.001703,107,0.001672
615,108,0.001687,106,0.001656
616,109,0.001703,106,0.001656
617,109,0.001703,106,0.001656
618,108,0.001687,107,0.001672
619,108,0.001687,105,0.001641
620,108,0.001687,105,0.001641
621,108,0.001687,106,0.001656
622,110,0.001719,105,0.001641
623,108,0.001687,105,0.001641
624,109,0.001703,106,0.001656
625,108,0.001687,107,0.001672
626,108,0.001687,106,0.001656
627,108,0.001687,107,0.001672
628,107,0.001672,106,0.001656
629,109,0.001703,107,0.001672
630,108,0.001687,106,0.001656
631,108,0.001687,106,0.001656
632,108,0.001687,106,0.001656
633,107,0.001672,106,0.001656
634,107,0.001672,105,0.001641
635,109,0.001703,105,0.001641
636,109,0.001703,106,0.001656
